,Customer ID,Age,Gender,Marital Status,Number of Dependents,Education,Employment Status,Annual Income,Credit Score,Loan Amount,Loan Term,Loan Approval
0,3114,72,Female,Married,0,Master's,Employed,113939,668,8723,15,0
1,1356,33,Other,Married,2,Some College,Unemployed,51863,688,16711,5,0
2,5447,29,Male,Single,1,Bachelor's,Self-employed,153930,793,45293,10,1
3,7016,79,Male,Single,4,Master's,Self-employed,90885,641,48956,20,0
4,2896,67,Other,Married,2,Bachelor's,Unemployed,162431,672,3964,25,0
5,1992,58,Male,Divorced,1,PhD,Self-employed,146324,542,44649,10,0
6,8456,79,Other,Single,4,Some College,Employed,237246,392,31816,5,0
7,5294,72,Female,Married,3,Some College,Employed,167506,777,17161,25,1
8,6386,49,Female,Single,0,Master's,Unemployed,203404,318,30783,25,0
9,1222,38,Female,Single,0,PhD,Unemployed,167935,627,7337,15,0
10,7020,20,Male,Married,0,PhD,Unemployed,175700,335,12019,30,0
11,7618,63,Female,Married,3,Master's,Employed,104266,385,3994,25,0
12,2447,65,Male,Divorced,0,Bachelor's,Self-employed,87277,527,25785,15,0
13,7788,74,Female,Divorced,4,PhD,Unemployed,45849,306,11998,25,0
14,1265,34,Male,Married,1,Master's,Unemployed,225756,315,25743,25,0
15,5924,18,Male,Married,3,High School,Employed,112923,835,6548,15,1
16,2382,65,Other,Married,0,High School,Self-employed,93991,710,45085,10,1
17,1785,76,Female,Married,4,Some College,Unemployed,211093,576,29466,30,0
18,8773,51,Other,Divorced,3,PhD,Unemployed,166544,626,14472,5,0
19,2705,25,Male,Single,0,Bachelor's,Unemployed,219605,594,43989,15,0
20,7953,22,Other,Single,1,Master's,Employed,163578,643,21936,30,0
21,1881,72,Male,Single,3,Some College,Employed,179697,807,21413,10,1
22,7532,71,Other,Divorced,0,Some College,Self-employed,65707,824,8155,10,1
23,6536,27,Female,Single,4,High School,Unemployed,175020,789,47500,10,1
24,4013,35,Other,Single,2,Some College,Self-employed,209348,592,29856,20,0
25,2027,47,Female,Single,3,Some College,Employed,57833,667,36724,5,0
26,7350,37,Male,Divorced,4,Bachelor's,Employed,98810,638,43721,20,0
